player_link,pob_lat,pob_lon,pob_code,pob,pob_uk
https://en.wikipedia.org/wiki/Mateo_Kova%C4%8Di%C4%87,48.3,14.2833333333333,AT,Austria,NA
https://en.wikipedia.org/wiki/Andrej_Kramari%C4%87,45.8166666666667,15.9833333333333,HR,Croatia,NA
https://en.wikipedia.org/wiki/Luka_Modri%C4%87,44.1,15.2166666666667,HR,Croatia,NA
https://en.wikipedia.org/wiki/Darijo_Srna,43.05,17.65,BA,Bosnia and Herzegovina,NA
https://en.wikipedia.org/wiki/Lovre_Kalini%C4%87,43.5,16.45,HR,Croatia,NA
https://en.wikipedia.org/wiki/Gordon_Schildenfeld,43.7333333333333,15.9166666666667,HR,Croatia,NA
https://en.wikipedia.org/wiki/Marcelo_Brozovi%C4%87,45.8166666666667,15.9833333333333,HR,Croatia,NA
https://en.wikipedia.org/wiki/Marko_Rog,46.3,16.3333333333333,HR,Croatia,NA
https://en.wikipedia.org/wiki/Nikola_Kalini%C4%87,43.5333333333333,16.4833333333333,HR,Croatia,NA
https://en.wikipedia.org/wiki/Mario_Mand%C5%BEuki%C4%87,45.1666666666667,18.0166666666667,HR,Croatia,NA
https://en.wikipedia.org/wiki/Ante_%C4%86ori%C4%87,45.8166666666667,15.9833333333333,HR,Croatia,NA
https://en.wikipedia.org/wiki/Milan_Badelj,45.8166666666667,15.9833333333333,HR,Croatia,NA
https://en.wikipedia.org/wiki/Marko_Pjaca,45.8166666666667,15.9833333333333,HR,Croatia,NA
https://en.wikipedia.org/wiki/Domagoj_Vida,45.55,18.6666666666667,HR,Croatia,NA
https://en.wikipedia.org/wiki/Duje_%C4%8Cop,45.2833333333333,18.8,HR,Croatia,NA
https://en.wikipedia.org/wiki/Danijel_Suba%C5%A1i%C4%87,44.1,15.2166666666667,HR,Croatia,NA
https://en.wikipedia.org/wiki/Thibaut_Courtois,51.1333333333333,5.6,BE,Belgium,NA
https://en.wikipedia.org/wiki/Toby_Alderweireld,51.2166666666667,4.4,BE,Belgium,NA
https://en.wikipedia.org/wiki/Thomas_Vermaelen,51.3166666666667,4.43333333333333,BE,Belgium,NA
https://en.wikipedia.org/wiki/Radja_Nainggolan,51.2166666666667,4.4,BE,Belgium,NA
https://en.wikipedia.org/wiki/Jan_Vertonghen,51.1666666666667,4.13333333333333,BE,Belgium,NA
https://en.wikipedia.org/wiki/Axel_Witsel,50.6333333333333,5.56666666666667,BE,Belgium,NA
https://en.wikipedia.org/wiki/Kevin_De_Bruyne,51.05,3.65,BE,Belgium,NA
https://en.wikipedia.org/wiki/Marouane_Fellaini,50.8333333333333,4.38333333333333,BE,Belgium,NA
https://en.wikipedia.org/wiki/Romelu_Lukaku,51.2166666666667,4.4,BE,Belgium,NA
https://en.wikipedia.org/wiki/Eden_Hazard,50.4666666666667,4.18333333333333,BE,Belgium,NA
https://en.wikipedia.org/wiki/Yannick_Ferreira_Carrasco,50.8333333333333,4.36666666666667,BE,Belgium,NA
https://en.wikipedia.org/wiki/Simon_Mignolet,50.8,5.18333333333333,BE,Belgium,NA
https://en.wikipedia.org/wiki/Jean-Fran%C3%A7ois_Gillet,50.6333333333333,5.56666666666667,BE,Belgium,NA
https://en.wikipedia.org/wiki/Dries_Mertens,50.8833333333333,4.7,BE,Belgium,NA
