url_player,pob,pob_coord,pob_lat,pob_lng,cob_alpha3,cob,cob_uk
/wiki/David_Batty,/wiki/Leeds,53°47′59″N 1°32′57″W,53.78333333333333,-1.5333333333333332,GBR,United Kingdom,England
/wiki/Alan_Shearer,/wiki/Newcastle_upon_Tyne,55°00′28″N 1°39′28″W,55,-1.65,GBR,United Kingdom,England
/wiki/Bruno_Martini,/wiki/Challuy,46°57′04″N 3°08′57″E,46.95,3.1333333333333333,FRA,France,NA
/wiki/Franck_Silvestre,/wiki/Paris,48°51′24″N 2°21′08″E,48.85,2.35,FRA,France,NA
/wiki/Emmanuel_Petit,/wiki/Dieppe,49°55′N 1°05′E,49.916666666666664,1.0833333333333333,FRA,France,NA
/wiki/Laurent_Blanc,/wiki/Al%C3%A8s,44°07′41″N 4°04′54″E,44.11666666666667,4.066666666666666,FRA,France,NA
/wiki/Bernard_Casoni,/wiki/Cannes,43°33′05″N 7°00′46″E,43.55,7,NA,NA,NA
/wiki/Didier_Deschamps,/wiki/Bayonne,43°29′N 1°29′W,43.483333333333334,-1.4833333333333334,FRA,France,NA
/wiki/Franck_Sauz%C3%A9e,/wiki/Aubenas,44°37′14″N 4°23′28″E,44.61666666666667,4.383333333333334,FRA,France,NA
/wiki/Jean-Pierre_Papin,/wiki/Boulogne-sur-Mer,50°43′35″N 1°36′53″E,50.71666666666667,1.6,FRA,France,NA
"/wiki/Christian_Perez_(footballer,_born_1963)",/wiki/Marseille,43°17′47″N 5°22′12″E,43.28333333333333,5.366666666666666,NA,NA,NA
/wiki/Christophe_Cocard,"/wiki/Bernay,_Eure",49°05′N 0°36′E,49.083333333333336,0.6,FRA,France,NA
/wiki/Basile_Boli,/wiki/Abidjan,5°19′N 4°2′W,5.316666666666666,-4.033333333333333,CIV,Côte d’Ivoire,NA
/wiki/Jean-Philippe_Durand,/wiki/Lyon,45°46′N 4°50′E,45.766666666666666,4.833333333333333,FRA,France,NA
/wiki/Fabrice_Divert,/wiki/Caen,49°11′N 0°22′W,49.18333333333333,-0.36666666666666664,FRA,France,NA
/wiki/Pascal_Vahirua,/wiki/Papeete,17°32′06″S 149°34′11″W,-17.533333333333335,-149.56666666666666,PYF,French Polynesia,NA
/wiki/R%C3%A9mi_Garde,/wiki/L%27Arbresle,45°50′11″N 4°37′04″E,45.833333333333336,4.616666666666667,FRA,France,NA
/wiki/Eric_Cantona,/wiki/Marseille,43°17′47″N 5°22′12″E,43.28333333333333,5.366666666666666,NA,NA,NA
/wiki/Gilles_Rousset,/wiki/Hy%C3%A8res,43°07′12″N 6°07′54″E,43.11666666666667,6.116666666666666,FRA,France,NA
/wiki/Jocelyn_Angloma,/wiki/Les_Abymes,16°16′N 61°31′W,16.266666666666666,-61.516666666666666,FRA,France,NA
/wiki/Thomas_Ravelli,/wiki/Vimmerby,57°40′N 15°51′E,57.666666666666664,15.85,SWE,Sweden,NA
/wiki/Roland_Nilsson,/wiki/Helsingborg,56°03′N 12°43′E,56.05,12.716666666666667,SWE,Sweden,NA
/wiki/Jan_Eriksson,/wiki/Sundsvall,62°24′N 17°19′E,62.4,17.316666666666666,SWE,Sweden,NA
/wiki/Patrik_Andersson,/wiki/Bj%C3%A4rred,55°43′N 13°01′E,55.71666666666667,13.016666666666667,NA,NA,NA
/wiki/Joachim_Bj%C3%B6rklund,/wiki/V%C3%A4xj%C3%B6,56°52′37″N 14°48′33″E,56.86666666666667,14.8,SWE,Sweden,NA
/wiki/Stefan_Schwarz,/wiki/Malm%C3%B6,55°36′21″N 13°02′09″E,55.6,13.033333333333333,SWE,Sweden,NA
/wiki/Klas_Ingesson,/wiki/%C3%96desh%C3%B6g,58°13′N 14°39′E,58.21666666666667,14.65,SWE,Sweden,NA
/wiki/Stefan_Rehn,/wiki/Stockholm,59°19′46″N 18°4′7″E,59.31666666666667,18.066666666666666,SWE,Sweden,NA
/wiki/Jonas_Thern,/wiki/Falk%C3%B6ping,58°10′30″N 13°33′11″E,58.166666666666664,13.55,SWE,Sweden,NA
/wiki/Anders_Limpar,/wiki/Solna_Municipality,59°21′N 18°00′E,59.35,18,NA,NA,NA
/wiki/Tomas_Brolin,/wiki/Hudiksvall,61°44′N 17°07′E,61.733333333333334,17.116666666666667,SWE,Sweden,NA
/wiki/Lars_Eriksson_(footballer),/wiki/Stockholm,59°19′46″N 18°4′7″E,59.31666666666667,18.066666666666666,SWE,Sweden,NA
"/wiki/Mikael_Nilsson_(footballer,_born_1968)",/wiki/Falk%C3%B6ping,58°10′30″N 13°33′11″E,58.166666666666664,13.55,SWE,Sweden,NA
/wiki/Magnus_Erlingmark,/wiki/J%C3%B6nk%C3%B6ping,57°46′58″N 14°09′38″E,57.766666666666666,14.15,SWE,Sweden,NA
/wiki/Jan_Jansson_(footballer),/wiki/M%C3%B6rbyl%C3%A5nga,56°31′N 16°23′E,56.516666666666666,16.383333333333333,NA,NA,NA
/wiki/Kennet_Andersson,/wiki/Eskilstuna,59°22′15″N 16°30′35″E,59.36666666666667,16.5,SWE,Sweden,NA
/wiki/Martin_Dahlin,/wiki/Uddevalla,58°21′N 11°55′E,58.35,11.916666666666666,SWE,Sweden,NA
/wiki/Roger_Ljung,/wiki/Lomma,55°40′N 13°05′E,55.666666666666664,13.083333333333334,SWE,Sweden,NA
"/wiki/Joakim_Nilsson_(footballer,_born_1966)",/wiki/Landskrona,55°52′N 12°50′E,55.86666666666667,12.833333333333334,NA,NA,NA
/wiki/Johnny_Ekstr%C3%B6m,/wiki/Kalleb%C3%A4ck,57°41′0″N 12°0′35″E,57.68333333333333,12,SWE,Sweden,NA
/wiki/Dmitri_Kharine,/wiki/Moscow,55°45′21″N 37°37′2″E,55.75,37.61666666666667,RUS,Russia,NA
/wiki/Andrey_Chernyshov,/wiki/Moscow,55°45′21″N 37°37′2″E,55.75,37.61666666666667,RUS,Russia,NA
/wiki/Kakhaber_Tskhadadze,/wiki/Rustavi,41°32′0″N 45°00′0″E,41.53333333333333,45,GEO,Georgia,NA
/wiki/Akhrik_Tsveiba,/wiki/Gudauta,43°06′7.16″N 40°37′29.28″E,43.1,40.61666666666667,GEO,Georgia,NA
/wiki/Oleh_Kuznetsov,/wiki/Magdeburg,52°8′0″N 11°37′0″E,52.13333333333333,11.616666666666667,DEU,Germany,NA
/wiki/Igor_Shalimov,/wiki/Moscow,55°45′21″N 37°37′2″E,55.75,37.61666666666667,RUS,Russia,NA
/wiki/Andrei_Kanchelskis,/wiki/Kropyvnytskyi,48°30′0″N 32°16′0″E,48.5,32.266666666666666,UKR,Ukraine,NA
/wiki/Sergei_Yuran,/wiki/Luhansk,48°34′0″N 39°20′0″E,48.56666666666667,39.333333333333336,UKR,Ukraine,NA
/wiki/Stanislav_Cherchesov,/wiki/Alagir,43°02′N 44°14′E,43.03333333333333,44.233333333333334,RUS,Russia,NA
